title,author,description,short_description,year,cover,original_title,original_isbn,q
Дневники Кэрри,Кэндес Бушнелл,"Это история о том, как обычная девочка учится думать и превращается в тонкую и проницательную писательницу. Читатели узнают о том, как она нашла свою творческую индивидуальность, о ее семье, отношениях с друзьями и что привело Кэрри в ее любимый Нью-Йорк","Это история о том, как обычная девочка учится думать и превращается в тонкую и проницательную писательницу. Читатели узнают о том, как она нашла свою творческую индивидуальность, о ее семье, отношения",2002,https://images.amazon.com/images/P/0451203895.01.LZZZZZZZ.jpg,4 Blondes,0451203895,дневники кэрри кэндес бушнелл
Обширней и медлительней империй,Урсула Ле Гуин,"То, что разумная жизнь самостоятельно зародилась на Земле, — наивное заблуждение. На самом деле мы лишь одна из многих колоний, созданных прогрессорами с планеты Хайн и на долгий срок оставленных без присмотра. Однажды возобновятся межзвездные путешествия и старейшие обитаемые миры, наш в том числе, войдут в союз под названием Экумена. Чтобы управлять космической цивилизацией без грубого вмешательства в дела других рас, свято соблюдать этику контакта и доверять миссию посла только тем, кто способен достучаться до любого сердца. Вошедший в этот сборник роман «Обделенные» — «пролог» Хайнского цикла — удостоен премий «Хьюго», «Небьюла», «Локхид» и «Прометей». Сюжетные элементы повести «Слово для “леса” и “мира” одно» (премия «Хьюго») легко прослеживаются в фильме «Аватар».","То, что разумная жизнь самостоятельно зародилась на Земле, — наивное заблуждение. На самом деле мы лишь одна из многих колоний, созданных прогрессорами с планеты Хайн и на долгий срок оставленных без ",1989,https://images.amazon.com/images/P/0929634063.01.LZZZZZZZ.jpg,50 Simple Things You Can Do to Save the Earth,0929634063,обширней и медлительней империй урсула ле гуин
"Вторая эра машин. Работа, прогресс и процветание в эпоху новейших технологий",Эрик Бриньолфсон,"Беспилотные автомобили, нейронные сети, компьютерная диагностика заболеваний, использование Больших данных в самых разных сферах человеческой деятельности... Авторы этой книги, инженеры и ученые из Массачусетского технологического института, сравнивают стремительное развитие цифровых технологий, которое мы наблюдаем сегодня, с промышленной революцией XVIII столетия – первой «эрой машин». Промышленная революция положила начало современному миру, вторая эра машин тоже на наших глазах создает новый мир: все социальные структуры и экономические принципы будут пересмотрены, технологии коренным образом изменят буквально все стороны нашей жизни.","Беспилотные автомобили, нейронные сети, компьютерная диагностика заболеваний, использование Больших данных в самых разных сферах человеческой деятельности... Авторы этой книги, инженеры и ученые из Ма",2000,https://images.amazon.com/images/P/0811824829.01.LZZZZZZZ.jpg,52 Deck Series: 52 Ways to Celebrate Friendship,0811824829,вторая эра машин работа прогресс и процветание в эпоху новейших технологий эрик бриньолфсон
Если бы наши тела могли говорить. Руководство по эксплуатации и обслуживанию человеческого тела,Джеймс Хэмблин,"Сколько разговоров ведется в СМИ об иммунитете, о том, что нужно больше спать и меньше есть, о кофе, холестерине, витаминах, жирах, вреде смартфонов и пользе БАДов! Что из этого правда, а что – откровенное вранье маркетологов? Доктор медицины и старший редактор The Atlantic Джеймс Хэмблин делится исключительно проверенной научной информацией об особенностях и механизмах функционирования человеческого организма. «Хэмблин пишет с сарказмом, юмором и чувством удивления... Его остроумное исследование о диетах, пищевых добавках, поливитаминах, энергетиках и глютене – невероятно нужная работа. Он развенчивает медицинские и маркетинговые мифы... Познавательная, развлекательная и слегка эксцентричная книга». (Booklist) «Эта книга отвечает на все вопросы, которые вы себе задавали о своем здоровье, и на многие другие, которые даже не приходили вам в голову, хотя это не помешало бы. Даже если вы не заботитесь о своем здоровье, вам следует ее прочитать...» (Уолтер Айзексон, автор бестселлера «Стив Джобс»)","Сколько разговоров ведется в СМИ об иммунитете, о том, что нужно больше спать и меньше есть, о кофе, холестерине, витаминах, жирах, вреде смартфонов и пользе БАДов! Что из этого правда, а что – откров",1997,https://images.amazon.com/images/P/0679451668.01.LZZZZZZZ.jpg,8 Weeks to Optimum Health,0679451668,если бы наши тела могли говорить руководство по эксплуатации и обслуживанию человеческого тела джеймс хэмблин
Игра в имитацию,Эндрю Ходжес,"О загадочной, «зашифрованной» судьбе великого криптографа снят фильм «Игра в имитацию», который получил главную награду Кинофестиваля в Торонто в 2014 году. В роли Тьюринга – Бенедикт Камбербэтч, прославившийся своей ролью в телесериале «Шерлок». А его несостоявшуюся невесту Джоан Кларк сыграла Кира Найтли.Национальный совет кинокритиков США и Американский институт киноискусства включили «Игру в имитацию» в топ 10 фильмов 2014 года. Также фильм получил пять номинаций на премию «Золотой глобус».Настало время миру узнать о Тьюринге.","О загадочной, «зашифрованной» судьбе великого криптографа снят фильм «Игра в имитацию», который получил главную награду Кинофестиваля в Торонто в 2014 году. В роли Тьюринга – Бенедикт Камбербэтч, прос",1998,https://images.amazon.com/images/P/0684819066.01.LZZZZZZZ.jpg,"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",0684819066,игра в имитацию эндрю ходжес
Крутой поворот,Николас Спаркс,"У Майлза Райана – полицейского из маленького городка – в жизни остались только две цели: найти водителя, сбившего его жену, и стать идеальным отцом для осиротевшего сынишки.Женщинам нет места в его жизни... пока в городок не приезжает молодая учительница Сара Эндрюс, которая скоро становится лучшим другом Джона.И Сара, и Майлз хорошо знают, что такое боль утраты, и умеют понимать и сострадать. Но только ли поэтому их так неудержимо влечет друг к другу?Но раньше, чем они успевают осознать свои чувства, происходит нечто, способное разлучить их навсегда...","У Майлза Райана – полицейского из маленького городка – в жизни остались только две цели: найти водителя, сбившего его жену, и стать идеальным отцом для осиротевшего сынишки.Женщинам нет места в его жи",2001,https://images.amazon.com/images/P/0446527785.01.LZZZZZZZ.jpg,A Bend in the Road,0446527785,крутой поворот николас спаркс
Прежде Чем Он Убьёт (Загадки Макензи Уайт — Книга 1),Блейк Пирс,"Новая серия увлекательных детективных романов от популярного автора Блейка Пирса. На кукурузном поле в штате Небраска находят труп женщины. Привязанная к столбу, она стала жертвой обезумевшего маньяка. Вскоре полиция понимает, что в городе орудует серийный убийца, и новые жертвы не заставляют себя ждать. К расследованию дела привлекают Макензи Уайт – молодого, талантливого и умного детектива, которая заткнёт за пояс многих стареющих полицейских-шовинистов из своего участка, ведь те вынуждены признать, что для раскрытия преступления им нужен её блестящий ум, благодаря которому она сумела закрыть несколько нераскрытых дел, заведших их в тупик. Но даже для Макензи это преступление кажется неразрешимой загадкой, ведь с подобным ни она, ни местные офицеры ещё никогда не сталкивались. К раскрытию дела привлекают агента ФБР, и вместе они начинают напряжённую охоту на убийцу. Угнетённая собственным тёмным прошлым и неудавшейся личной жизнью, борясь с возникшими чувствами к агенту ФБР, Макензи пытается найти убийцу и заодно справиться с собственными демонами и самыми мрачными воспоминаниями своей жизни. Забравшись в сознание убийцы и пытаясь разгадать его сущность, она понимает, что зло действительно существует. Макензи остаётся лишь надеяться, что она успеет найти ответ до того, как её собственная жизнь окончательно разрушится. Обнаруживаются всё новые тела. Начинается безумная гонка со временем. Выход один – найти убийцу прежде, чем он убьёт вновь. Тёмный психологический триллер с увлекательным сюжетом «ПРЕЖДЕ ЧЕМ ОН УБЬЁТ» заставит вас не единожды засидеться за книгой до поздней ночи. Он открывает новую захватывающую серию романов и знакомит нас с прекрасной новой героиней. Скоро в продажу поступит книга #2 из серии «Загадки Макензи Уайт».","Новая серия увлекательных детективных романов от популярного автора Блейка Пирса. На кукурузном поле в штате Небраска находят труп женщины. Привязанная к столбу, она стала жертвой обезумевшего маньяка",2003,https://images.amazon.com/images/P/0446531480.01.LZZZZZZZ.jpg,A Body to Die For,0446531480,прежде чем он убьёт загадки макензи уайт книга 1 блейк пирс
Как повесить ведьму,Адриана Мэзер,"У рода Мэзер дурная репутация в Салеме. Много веков назад из-за священника Коттона Мэзера в городе объявили охоту на ведьм. По обвинению в колдовстве казнили десятки людей. Их потомки до сих пор хранят память о мрачной трагедии.Появление Саманты Мэзер, одной из этого проклятого рода, снова приносит смерть в Салем. Девушку преследуют несчастья. Ее ненавидят и сторонятся в школе, на нее косо смотрят на улице. Духи хотят, чтобы Саманта Мэзер убралась из Салема навсегда. Жители города мечтают ей отомстить.За каждым домом в городе таится мрачная легенда. Каждый камень помнит историю Салема. Неужели Салемский суд повторится сотни лет спустя?",У рода Мэзер дурная репутация в Салеме. Много веков назад из-за священника Коттона Мэзера в городе объявили охоту на ведьм. По обвинению в колдовстве казнили десятки людей. Их потомки до сих пор храня,1994,https://images.amazon.com/images/P/0152001018.01.LZZZZZZZ.jpg,A Break with Charity: A Story about the Salem Witch Trials,0152001018,как повесить ведьму адриана мэзер
"Суперсила, Поиски единои теории природы",П. Девис,"Наука во все времена стремилась построить целостную картину окружающего мира. В последние десятилетия физики как никогда приблизились к осуществлению этой мечты: вырисовываются перспективы объединения четырех фундаментальных взаимодействий природы в рамках одной суперсилы, и физика микромира все теснее сливается с космологией - теорией происхождения и эволюции Вселенной.Обо всем этом в популярной и увлекательной форме рассказывает книга известного английского ученого и популяризатора науки Пола Девиса (знакомого советскому читателю по книге «Пространство и время в современной картине Вселенной», - М.: Мир, 1978).Адресована всем, кто интересуется проблемами современной фундаментальной науки, особенно полезна преподавателям и студентам как физических, так и философских факультетов вузов.",Наука во все времена стремилась построить целостную картину окружающего мира. В последние десятилетия физики как никогда приблизились к осуществлению этой мечты: вырисовываются перспективы объединения,1998,https://images.amazon.com/images/P/0553380168.01.LZZZZZZZ.jpg,A Brief History of Time : The Updated and Expanded Tenth Anniversary Edition,0553380168,суперсила поиски единои теории природы п девис
Огонь,Кэтрин Нэвилл,"Александра Соларина получает от матери настойчивое приглашение приехать в их фамильный дом на празднование ее дня рождения. К своему величайшему удивлению, девушка обнаруживает, что дом пуст, зато мать оставила для нее целую серию загадочных посланий","Александра Соларина получает от матери настойчивое приглашение приехать в их фамильный дом на празднование ее дня рождения. К своему величайшему удивлению, девушка обнаруживает, что дом пуст, зато мат",1992,https://images.amazon.com/images/P/0345351363.01.LZZZZZZZ.jpg,A Calculated Risk,0345351363,огонь кэтрин нэвилл
Поцелуй теней,Лорел Гамильтон,"Она - изгнанница, преданная своими родичами, чудом избежавшая гибели. Одна из представителей всемогущей бессмертной расы тех, кто веками жил бок о бок с нами - неузнанные, неизвестные, способные играючи распоряжаться человеческими судьбами","Она - изгнанница, преданная своими родичами, чудом избежавшая гибели. Одна из представителей всемогущей бессмертной расы тех, кто веками жил бок о бок с нами - неузнанные, неизвестные, способные играю",2002,https://images.amazon.com/images/P/0345435273.01.LZZZZZZZ.jpg,A Caress of Twilight (Meredith Gentry Novels (Hardcover)),0345435273,поцелуй теней лорел гамильтон
Выбери меня,Тесс Герритсен,"Ночью на улице в Бостоне находят тело студентки Тэрин Мур, выпавшей из окна. Это выглядит как самоубийство, однако некоторые детали настораживают следователей. Выясняется, что недавно Тэрин рассталась со своим бойфрендом Лиамом, но он отрицает всякую причастность и к ее смерти, и к ее беременности, о которой становится известно чуть позже, на вскрытии. В университете Тэрин писала работу о женщинах древности — Дидоне, Ариадне и других, — которые были преданы своими мужчинами. После разрыва с Лиамом она дала себе слово, что всегда будет бороться с обманом и предательством и что сама никогда не станет жертвой. Если ты не жертва, то ты хищник. Однако на охоте всегда есть риск встретить хищника покрупнее. Впервые на русском!","Ночью на улице в Бостоне находят тело студентки Тэрин Мур, выпавшей из окна. Это выглядит как самоубийство, однако некоторые детали настораживают следователей. Выясняется, что недавно Тэрин рассталась",1994,https://images.amazon.com/images/P/0451183665.01.LZZZZZZZ.jpg,A Case of Need,0451183665,выбери меня тесс герритсен
Бесспорное правосудие,Филлис Дороти Джеймс,"Процесс по делу Гарри Эша, обвинявшегося в убийстве с особой жестокостью, выигран благодаря блестящей защите адвоката Венис Олдридж. Но вскоре после окончания судебного процесса ее находят в собственном кабинете мертвой, с окровавленной головой.Адам Дэлглиш, расследуя обстоятельства ее гибели, выясняет: многие не любили молодую удачливую юристку и завидовали ей. А в деле Гарри Эша, которым она занималась, скрыто много тайн, связанных с семьей самой Венис Олдридж. И похоже, неизвестный преступник не остановится ни перед чем, чтобы они никогда не всплыли наружу...","Процесс по делу Гарри Эша, обвинявшегося в убийстве с особой жестокостью, выигран благодаря блестящей защите адвоката Венис Олдридж. Но вскоре после окончания судебного процесса ее находят в собственн",1999,https://images.amazon.com/images/P/0345430573.01.LZZZZZZZ.jpg,A Certain Justice (Adam Dalgliesh Mysteries (Paperback)),0345430573,бесспорное правосудие филлис дороти джеймс
Ва-Банк,Шарьер А.,"В романе «Ва-банк» приключения и злоключения Анри Шарьера по прозвищу Мотылек набирают новые обороты. В Венесуэле он наконец-то обретает долгожданную свободу после того, как сбежал из тюрьмы и тринадцать лет скитался, скрываясь от правосудия. Несмотря на все попытки стать честным человеком, Чарли оказывается втянут в ужасную аферу с золотоискателями, шулерами, грабителями банков и революционерами. Он грабит сам, другие грабят его, но, что бы ни происходили Мотылек жаждет нормальной жизни больше, чем когда-либо. Он открывает собственный ночной клуб в Каракасе, но землетрясение 1967 года в прямом смысле разрушает его бизнес. И тогда Анри Шарьеру не остается ничего, кроме как взяться за роман, который принесет ему миллионы и мировую славу. Автобиографический роман Анри Шарьера «Мотылек» стал бестселлером сразу после его публикации. В первые три года после выхода было напечатано около 10 миллионов экземпляров этой книги. С тех пор «Мотылек» – один из лучших приключенческих романов, написанных не только в XX веке, но и за всю историю жанра авантюрной прозы.","В романе «Ва-банк» приключения и злоключения Анри Шарьера по прозвищу Мотылек набирают новые обороты. В Венесуэле он наконец-то обретает долгожданную свободу после того, как сбежал из тюрьмы и тринадц",1995,https://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg,"A Child Called \It\"": One Child's Courage to Survive""",1558743669,вабанк шарьер а
Шторм в Гавани Ветров,Джордж Мартин,"Некогда, в незапамятные времена Земля отправила своих детей колонизировать другие планеты.Один из кораблей землян совершил вынужденную посадку в мире, почти целиком покрытом водой. Колонистам пришлось расселиться по множеству островков, объединенных в причудливые архипелаги, и вступить в схватку с опасными тварями, обитающими в океане. И тогда из корпуса погибшего корабля люди нарезали крылья...Прошли века и века. Но и поныне крылья, позволяющие стремительно перекрывать расстояние между островами, доступны лишь сообществу летателей, равных самим Правителям планеты.Юная Марис, дочь простого рыбака, не должна даже грезить полетом.Однако кто может запретить ей мечтать – или, если угодно, добиваться, чтобы мечта стала явью?..","Некогда, в незапамятные времена Земля отправила своих детей колонизировать другие планеты.Один из кораблей землян совершил вынужденную посадку в мире, почти целиком покрытом водой. Колонистам пришлось",2000,https://images.amazon.com/images/P/0553579908.01.LZZZZZZZ.jpg,"A Clash of Kings (A Song of Fire and Ice, Book 2)",0553579908,шторм в гавани ветров джордж мартин
Заводной апельсин,Энтони Бёрджесс,"«Заводной апельсин» – литературный парадокс ХХ столетия. Продолжая футуристические традиции в литературе, экспериментируя с языком, на котором говорит рубежное поколение malltshipalltshikov и kisok «надсатых», Энтони Бёрджесс создает роман, признанный классикой современной литературы.Умный, жестокий, харизматичный антигерой Алекс, лидер уличной банды, проповедуя насилие как высокое искусство жизни, как род наслаждения, попадает в железные тиски новейшей государственной программы по перевоспитанию преступников и сам становится жертвой насилия. Можно ли спасти мир от зла, лишая человека воли совершать поступки и превращая его в «заводной апельсин»? Этот вопрос сегодня актуален так же, как и вчера, и вопрос этот автор задает читателю.","«Заводной апельсин» – литературный парадокс ХХ столетия. Продолжая футуристические традиции в литературе, экспериментируя с языком, на котором говорит рубежное поколение malltshipalltshikov и kisok «н",1986,https://images.amazon.com/images/P/0393312836.01.LZZZZZZZ.jpg,A Clockwork Orange (Norton Paperback Fiction),0393312836,заводной апельсин энтони бёрджесс
